system:index,date,rainfall_mm,.geo
20150503213000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503220000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503223000,2015-05-03,3.2984292456460863E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503230000,2015-05-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150503233000,2015-05-03,3.2984292456460863E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504000000,2015-05-04,9.89528773693826E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504003000,2015-05-04,0.0016492145613850094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504010000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504013000,2015-05-04,0.005652704954888495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504020000,2015-05-04,0.025052355588730712,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504023000,2015-05-04,0.03566143005423208,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504030000,2015-05-04,0.04976439625934987,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504033000,2015-05-04,0.036902267491708246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504040000,2015-05-04,0.01467888242098621,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504043000,2015-05-04,0.01638917910490984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504050000,2015-05-04,0.01638917910490984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504053000,2015-05-04,0.0012984292903495706,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504060000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504063000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504070000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504073000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504080000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504083000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504090000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504093000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504100000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504103000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504110000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504113000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504120000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504123000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504130000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504133000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504140000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504143000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504150000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504153000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504160000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504163000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504170000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504173000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504180000,2015-05-04,0.0030296684247661,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504183000,2015-05-04,0.006275741529714373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504190000,2015-05-04,0.01017102919922033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504193000,2015-05-04,0.014931936798711512,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504200000,2015-05-04,0.015364746481544261,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504203000,2015-05-04,0.014931936798711512,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504210000,2015-05-04,0.01017102919922033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504213000,2015-05-04,0.007141361096922637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504220000,2015-05-04,0.005626526844231036,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504223000,2015-05-04,8.656195268997137E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504230000,2015-05-04,4.3280976344985686E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150504233000,2015-05-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505000000,2015-05-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505003000,2015-05-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505010000,2015-05-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505013000,2015-05-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505020000,2015-05-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505023000,2015-05-05,9.89528773693826E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505030000,2015-05-05,0.00764572414883248,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150505033000,2015-05-05,0.0016492145613850094,"{""type"":""MultiPoint"",""coordinates"":[]}"
